,pipe-dia,pipe-mat,pipe-bd,先前失效,pipe-pre,pipe-len,pipe-age,a7
417,100,6,1.2,0,0.35,13.3,27,0
418,200,6,1.1,0,0.24,6.679,24,0
419,200,6,1.2,0,0.17,2.122,25,0
420,200,5,0.9,0,0.26,0.65,36,0
421,100,6,1.7,0,0.34,5.294,16,0
422,300,6,1.9,0,0.26,3.401,14,0
423,400,6,1.9,0,0.22,2.088,14,0
424,100,3,1.1,0,0.22,4.077,40,0
425,200,3,1.2,0,0.31,2.487,29,0
426,200,2,1.201,0,0.29,3.524,27,0
427,200,2,1.202,0,0.3,1.151,26,0
428,150,4,1.1,0,0.25,4.077,24,0
429,150,4,1.201,0,0.26,3.524,21,0
430,150,4,1.202,0,0.22,1.151,21,0
431,200,4,0.8,0,0.22,2.263,21,0
432,200,3,1.1,0,0.31,4.077,40,0
433,200,3,1.2,0,0.29,2.487,29,0
434,600,2,1.201,0,0.3,3.524,27,0
435,600,2,1.202,0,0.29,1.151,26,0
436,100,4,0.8,0,0.26,2.263,26,0
437,100,3,1.1,0,0.23,4.077,40,0
438,100,3,1.2,0,0.31,2.487,29,0
439,50,2,1.1,0,0.23,3.524,27,0
440,50,2,1.1,0,0.25,1.151,26,0
441,50,4,1.2,0,0.32,2.263,20,0
442,50,4,1.1,0,0.19,5.843,22,0
443,50,4,1.1,0,0.35,0.143,22,0
444,50,4,1.2,0,0.24,25.714,26,0
445,150,4,1.1,0,0.17,14.2,26,0
446,150,4,1.1,0,0.23,13.3,26,0
447,150,4,0.5,0,0.32,1.4,26,0
448,300,0,1.3,0,0.27,8.597,22,0
449,300,0,1.4,0,0.16,10.03,29,0
450,100,0,1.4,0,0.22,27.322,18,0
451,100,0,1.4,1,0.19,64.647,22,0
452,100,1,1.4,0,0.31,61.644,20,0
453,150,1,0.8,0,0.28,50.336,20,0
454,200,1,0.8,0,0.29,4.57,20,0
455,200,1,1.3,0,0.29,1.737,20,0
456,200,1,0.8,0,0.26,8.148,20,0
457,200,1,0.801,0,0.23,2.253,20,0
458,200,1,0.802,0,0.31,5.802,20,0
459,200,1,0.803,0,0.23,2.352,20,0
460,200,1,0.805,1,0.32,1.215,20,0
461,200,1,0.806,0,0.19,5.843,20,0
462,200,1,0.807,0,0.35,0.143,20,0
463,200,6,1.7,0,0.31,5.294,16,0
464,200,6,1.9,0,0.22,3.401,14,0
465,200,6,1.9,0,0.28,2.088,14,0
466,200,6,1.8,0,0.29,1.654,14,0
467,40,5,0.5,0,0.25,3.318,7,0
468,100,0,1.2,0,0.32,128.076,27,0
469,200,0,0.8,0,0.19,33.741,18,0
470,200,0,0.8,0,0.35,1.007,18,0
471,200,0,0.8,0,0.24,48.047,25,0
472,100,0,0.8,0,0.17,78.826,25,0
473,300,0,1.3,0,0.29,8.597,22,0
474,300,0,1.4,0,0.26,10.03,29,0
475,100,0,1.4,0,0.23,27.322,18,0
476,100,0,1.4,1,0.32,64.647,22,0
477,100,1,1.4,0,0.16,61.644,20,0
478,150,1,0.8,0,0.19,50.336,20,0
479,200,1,0.8,0,0.21,4.57,20,0
480,200,1,1.3,0,0.31,1.737,20,0
481,200,1,0.8,0,0.22,8.148,20,0
482,200,1,0.801,0,0.28,2.253,20,0
483,200,1,0.802,0,0.29,5.802,20,0
484,200,1,0.803,0,0.23,2.352,20,0
485,200,1,0.805,1,0.23,1.215,20,0
486,200,1,0.806,0,0.25,5.843,20,0
487,200,1,0.807,0,0.32,0.143,20,0
488,200,0,1.6,0,0.23,9.585,27,0
489,200,0,1.7,0,0.32,2.495,26,0
490,200,0,1.3,1,0.27,0.74,26,0
491,200,0,1.2,1,0.16,6.861,26,0
492,200,0,1.2,0,0.22,1.403,26,0
493,100,0,1.4,0,0.31,63.515,26,0
494,300,0,1.0,0,0.22,4.198,26,0
495,100,0,1.4,0,0.28,1.753,26,0
496,100,0,1.2,0,0.29,128.076,27,0
497,200,0,0.8,0,0.29,33.741,18,0
498,200,0,0.8,0,0.26,1.007,18,0
499,200,0,0.8,0,0.19,48.047,25,0
500,100,0,0.8,0,0.24,78.826,25,0
501,300,0,1.3,0,0.27,8.597,22,0
502,300,0,1.4,0,0.29,10.03,29,0
503,100,0,1.4,0,0.26,27.322,18,0
504,100,0,1.4,1,0.23,64.647,22,0
505,100,1,1.4,0,0.27,61.644,20,0
506,150,1,0.8,0,0.23,50.336,20,0
507,200,1,0.8,0,0.32,4.57,20,0
508,200,1,1.3,0,0.27,1.737,20,0
509,200,1,0.8,0,0.16,8.148,20,0
510,200,1,0.801,0,0.22,2.253,20,0
511,200,1,0.802,0,0.19,5.802,20,0
512,200,1,0.803,0,0.25,2.352,20,0
513,200,1,0.805,1,0.22,1.215,20,0
514,200,1,0.806,0,0.28,5.843,20,0
515,200,1,0.807,0,0.29,0.143,20,0
516,200,6,1.7,0,0.26,5.294,16,0
517,200,0,0.8,0,0.26,1.007,18,0
518,200,0,0.8,0,0.19,48.047,25,0
519,100,0,0.8,0,0.24,78.826,25,0
520,300,0,1.3,0,0.27,8.597,22,0
521,300,0,1.4,0,0.29,10.03,29,0
522,100,0,1.4,0,0.26,27.322,18,0
523,100,0,1.4,1,0.23,64.647,22,0
524,100,6,1.4,0,0.27,61.644,20,0
525,150,6,0.8,0,0.23,50.336,20,0
526,200,6,0.8,0,0.32,4.57,20,0
527,200,6,1.3,0,0.27,1.737,20,0
528,200,6,0.8,0,0.16,8.148,20,0
529,200,6,0.801,0,0.22,2.253,20,0
530,200,6,0.802,0,0.19,5.802,20,0
531,200,6,0.803,0,0.25,2.352,20,0
532,200,6,0.805,1,0.22,1.215,20,0
533,200,6,0.806,0,0.28,5.843,20,0
534,200,6,0.807,0,0.29,0.143,20,0
535,200,6,1.7,0,0.26,5.294,16,0
536,200,6,1.9,0,0.31,3.401,14,0
537,200,6,1.9,0,0.22,2.088,14,0
538,200,6,1.8,0,0.18,1.654,14,0
539,400,5,0.5,0,0.17,3.318,7,0
540,600,5,0.8,0,0.23,0.865,25,0
541,600,3,1.1,0,0.24,4.077,40,0
542,600,3,1.2,0,0.23,2.487,29,0
543,600,2,1.201,0,0.19,3.524,27,0
544,600,2,1.202,0,0.36,1.151,26,0
545,600,4,0.8,0,0.25,2.263,26,0
546,600,4,0.4,0,0.19,6.309,14,0
547,500,4,0.5,0,0.31,1.331,14,0
548,500,4,0.4,0,0.19,1.281,23,0
549,500,4,0.3,0,0.15,4.809,18,0
550,500,4,0.4,0,0.19,1.436,18,0
551,500,4,1.1,0,0.33,1.005,25,0
552,100,4,1.4,0,0.32,63.515,26,0
553,300,4,1.0,0,0.38,4.198,26,0
554,100,4,1.4,0,0.24,1.753,26,0
555,100,4,1.2,0,0.25,128.076,27,0
556,200,4,0.8,0,0.24,33.741,18,0
557,200,4,0.8,0,0.23,1.007,18,0
558,200,0,0.8,0,0.29,48.047,25,0
559,100,0,0.8,0,0.36,78.826,25,0
560,300,0,1.3,0,0.25,8.597,22,0
561,300,0,1.4,0,0.19,10.03,29,0
562,100,0,1.4,0,0.22,27.322,18,0
563,100,0,1.4,1,0.31,64.647,22,0
564,100,1,1.4,0,0.15,61.644,20,0
565,150,1,0.8,0,0.32,50.336,20,0
566,200,1,0.8,0,0.33,4.57,20,0
567,200,1,1.3,0,0.31,1.737,20,0
568,200,1,0.8,0,0.22,8.148,20,0
569,200,1,0.801,0,0.28,2.253,20,0
570,200,1,0.802,0,0.29,5.802,20,0
571,200,1,0.803,0,0.29,2.352,20,0
572,200,1,0.805,1,0.21,1.215,20,0
573,200,1,0.806,0,0.29,5.843,20,0
574,200,1,0.807,0,0.26,0.143,20,0
575,200,6,1.7,0,0.22,5.294,16,0
576,200,6,1.9,0,0.28,3.401,14,0
577,200,6,1.9,0,0.39,2.088,14,0
578,200,6,1.8,0,0.22,1.654,14,0
